Execução,Tempo (s)
1,100.078000
2,97.350000
3,100.763000
4,122.213000
5,105.128000
6,105.356000
7,109.709000
8,109.159000
9,98.463000
10,101.668000
11,114.024000
12,114.233000
13,115.340000
14,117.562000
15,112.086000
